"المعرف","السجلات التاريخية","الاسم العربي","الاسم الإنجليزي","النطاق","حالة السجل","مسار العرض","مرجع السيناريو","نوع دليل التنفيذ","مرجع الاختبار","اختبار القبول الخاص","حالة التحقق","دليل تكامل حي","دليل إيراد","دعم تقييم الاستحواذ","الدليل التالي المطلوب","حد الادعاء"
"11","11","أمن ما بعد الكم وإدارة المفاتيح المؤسسية","Post-Quantum Security & Enterprise Key Management™","الحوكمة والامتثال","demonstrated","لوحة القيادة ← الحوكمة والامتثال ← الميزات المرتبطة ← السجل #11","السيناريو 4: معاملة شرعية مع حارس وقواعد","محاكاة داخل المتصفح ببيانات اصطناعية","tests/registry.test.cjs: registry status; DEMO_GUIDE.md: manual route","not-created","متحقق كمسار عرض قابل لإعادة التشغيل","false","false","false","اختبار قبول خاص بالميزة، تنفيذ قابل للفحص، وبيانات اختبار قابلة لإعادة التشغيل","لا يثبت إنتاجاً أو تكاملاً حياً أو إيراداً"
"12","12","التكامل مع الأنظمة الحكومية والامتثال التنظيمي","Government Integration & Regulatory Compliance™","الحوكمة والامتثال","demonstrated","لوحة القيادة ← الحوكمة والامتثال ← الميزات المرتبطة ← السجل #12","السيناريو 4: معاملة شرعية مع حارس وقواعد","محاكاة داخل المتصفح ببيانات اصطناعية","tests/registry.test.cjs: registry status; DEMO_GUIDE.md: manual route","not-created","متحقق كمسار عرض قابل لإعادة التشغيل","false","false","false","اختبار قبول خاص بالميزة، تنفيذ قابل للفحص، وبيانات اختبار قابلة لإعادة التشغيل","لا يثبت إنتاجاً أو تكاملاً حياً أو إيراداً"
"13","13","شبكة التوزيع الذكية والتنفيذ الدقيق للطلبات","Smart Micro-Fulfillment & Autonomous Replenishment™","المتاجر والمخزون","architecture","المعمارية العامة ← المتاجر والمخزون ← السجل الموحد #13","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"14","14","السوق التحليلي الذكي للمستثمرين والجهات المانحة","Smart Analytical Marketplace for Investors & Donors™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #14","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"15","15","سوق العمل والتوظيف للأسر والأفراد","Inclusive Employment & Family Productivity Marketplace™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #15","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"16","16","المحفظة المالية الشاملة والتحويلات الذكية","Inclusive Digital Wallet & Smart Transfers™","المدفوعات والتسوية","architecture","المعمارية العامة ← المدفوعات والتسوية ← السجل الموحد #16","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"17","17","منصة التدريب الرقمي وتمكين المهارات","Digital Training & Skills Empowerment Platform™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #17","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"18","18","منصة التحليل التنبؤي للفقر والاحتياجات","Predictive Poverty & Needs Analytics Platform™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #18","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"19","19","نظام التأمين الصحي الشامل الذكي","Smart Inclusive Health Insurance System™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #19","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"20","20","منصة التبرعات الذكية الموثقة بالبلوكشين","Blockchain-Verified Smart Donations Platform™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #20","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"21","21","الاستقطاب الآلي للمتبرعين وشراء الوسائط بالذكاء الاصطناعي","Autonomous Donor Acquisition & AI Media Buying™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #21","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"22","22","سوق الاستثمارات الخيرية الذكية","Smart Philanthropic Investment Marketplace™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #22","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"23","23","نظام تتبع الأثر الاجتماعي الذكي","Smart Social Impact Tracking System™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #23","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"24","24","دعم العلامة البيضاء للمنصة","IKTEFAA White Label Support™","الحوكمة والامتثال","architecture","المعمارية العامة ← الحوكمة والامتثال ← السجل الموحد #24","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"25","25","سوق شراء الوسائط الإعلانية الذكي","Smart Media Buying Marketplace™","التجارة والأسواق","architecture","المعمارية العامة ← التجارة والأسواق ← السجل الموحد #25","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"26","26","نظام تتبع الأغذية من المزرعة إلى المستهلك","Farm-to-Fork Food Security Tracker™","الإمداد والجودة","demonstrated","لوحة القيادة ← الإمداد والجودة ← الميزات المرتبطة ← السجل #26","السيناريو 3: التوريد وإثبات المنشأ","محاكاة داخل المتصفح ببيانات اصطناعية","tests/registry.test.cjs: registry status; DEMO_GUIDE.md: manual route","not-created","متحقق كمسار عرض قابل لإعادة التشغيل","false","false","false","اختبار قبول خاص بالميزة، تنفيذ قابل للفحص، وبيانات اختبار قابلة لإعادة التشغيل","لا يثبت إنتاجاً أو تكاملاً حياً أو إيراداً"
"27","27","منصة مراقبة جودة الأغذية الذكية","Smart Food Quality Monitoring Platform™","الإمداد والجودة","demonstrated","لوحة القيادة ← الإمداد والجودة ← الميزات المرتبطة ← السجل #27","السيناريو 3: التوريد وإثبات المنشأ","محاكاة داخل المتصفح ببيانات اصطناعية","tests/registry.test.cjs: registry status; DEMO_GUIDE.md: manual route","not-created","متحقق كمسار عرض قابل لإعادة التشغيل","false","false","false","اختبار قبول خاص بالميزة، تنفيذ قابل للفحص، وبيانات اختبار قابلة لإعادة التشغيل","لا يثبت إنتاجاً أو تكاملاً حياً أو إيراداً"
"28","28","سوق اللحوم المستوردة (المثلجة والمبردة والطازجة)","Imported Meat Marketplace™","التجارة والأسواق","architecture","المعمارية العامة ← التجارة والأسواق ← السجل الموحد #28","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"29","29","شبكة الإفادة الذكية من لحوم الأضاحي والتوصيل","Smart Sacrificial Meat Distribution Network™","اللوجستيات والأسطول","architecture","المعمارية العامة ← اللوجستيات والأسطول ← السجل الموحد #29","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"30","30","السوق الوطني للحبوب والزيوت","National Grain & Oil Marketplace™","التجارة والأسواق","architecture","المعمارية العامة ← التجارة والأسواق ← السجل الموحد #30","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"31","31","الذكاء الاصطناعي التنبؤي السلوكي","Behavioral Predictive AI™","الذكاء والتحليلات","architecture","المعمارية العامة ← الذكاء والتحليلات ← السجل الموحد #31","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"32","32","البصمة الغذائية الرقمية","Food Digital DNA™","الحوكمة والامتثال","architecture","المعمارية العامة ← الحوكمة والامتثال ← السجل الموحد #32","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"33","33","الشبكة الذكية للأمن الغذائي","AI Global Food Security Grid™","الذكاء والتحليلات","architecture","المعمارية العامة ← الذكاء والتحليلات ← السجل الموحد #33","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"34","34","العقود الإنسانية الذكية","Humanitarian Smart Contracts™","العقود والضمان","architecture","المعمارية العامة ← العقود والضمان ← السجل الموحد #34","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"35","35","الاقتصاد التشاركي الغذائي","Food Sharing Economy™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #35","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"36","36","التكامل مع سلاسل الإمداد العالمية للأمن الغذائي","Global Food Supply Integration™","الإمداد والجودة","architecture","المعمارية العامة ← الإمداد والجودة ← السجل الموحد #36","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"37","37; 45","المحفظة الغذائية العالمية","Global Food Wallet™","المدفوعات والتسوية","architecture","المعمارية العامة ← المدفوعات والتسوية ← السجل الموحد #37","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"38","38; 46","برنامج ولاء الأثر","Impact Loyalty Program™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #38","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"39","39","سوق الشفافية الغذائية العالمي","Global Transparency Marketplace™","الحوكمة والامتثال","architecture","المعمارية العامة ← الحوكمة والامتثال ← السجل الموحد #39","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"40","40","منصة دخل إضافي للأسر","IKTEFAA Micro-Jobs™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #40","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"41","41; 44","منصة التأمين الغذائي الشخصي بالذكاء الاصطناعي","Personal Food Security AI™","الذكاء والتحليلات","architecture","المعمارية العامة ← الذكاء والتحليلات ← السجل الموحد #41","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"42","42","التبرع الآلي متعدد الوجهات","Multi-Impact Donations™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #42","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"43","43","الشبكة الاجتماعية الغذائية","Food Impact Social Network™","الأثر الاجتماعي","architecture","المعمارية العامة ← الأثر الاجتماعي ← السجل الموحد #43","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"47","47","ميزة غير معرفة في هذه النسخة (محجوزة أو مدمجة ضمن ميزة أخرى)","Undefined feature in this version (reserved or merged)","محجوزة أو مدمجة","reserved","السجل الموحد ← السجل #47","لا يوجد؛ السجل محجوز أو مدمج","سجل تاريخي محجوز أو مدمج","tests/registry.test.cjs: reserved and deduplication assertions","not-created","مستبعد من عدّاد الميزات المعرفة","false","false","false","لا يوجد؛ يبقى السجل محفوظاً للتدقيق ولا يعاد تقديمه كميزة مستقلة","لا يجوز استخدامه لإثبات ميزة منفذة"
"48","48","المزادات الغذائية العالمية","Global Food Auctions™","التجارة والأسواق","architecture","المعمارية العامة ← التجارة والأسواق ← السجل الموحد #48","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"49","49","المؤشر اللحظي للأمن الغذائي","Real-Time Food Security Index™","الذكاء والتحليلات","architecture","المعمارية العامة ← الذكاء والتحليلات ← السجل الموحد #49","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
"50","50","سوق المستقبلات الغذائية","Food Futures Market™","التجارة والأسواق","architecture","المعمارية العامة ← التجارة والأسواق ← السجل الموحد #50","لا يوجد مسار محاكاة خاص في النسخة العامة","سجل ميزة ومعمارية معلنة فقط","tests/registry.test.cjs: registry inclusion only; feature acceptance test absent","not-created","غير منفذ في النسخة العامة الحالية","false","false","false","خدمة منفذة، عقد واجهة، اختبار قبول، وسجل تشغيل أو نتيجة إثبات قيمة","لا يثبت قابلية تشغيل أو تكاملاً أو أداءً تجارياً"
